"Code","Name","Latitude","Longitude","tCORALavg","tCORALstd","tFMAavg","tFMAstd","YEAR","Reef Type","Depth"
"1032","Round Caye",16.4185,-88.0413,10.33,7.89,37.25,10.04,"2018",NA,6
"1037","Carrie Caye",16.51746,-88.19352,3.83,4.83,23.17,4.4,"2018",NA,8.8
"1038","Big White-Gladden Channel",16.5079,-87.9707,19.33,19.87,40.83,15.9,"2018",NA,7.4
"1044","South of Carrie Bow Caye",16.64572,-88.0662,8.5,5.32,15.33,2.66,"2018",NA,5.9
"1045","Glover's Southwest",16.72,-87.8387,28.5,10.33,23.5,11.67,"2018",NA,8.8
"1052","Glover's NW",16.8856,-87.8102,25.17,7.28,16.17,14.36,"2018",NA,4.9
"1057","West of Hat Caye",17.1692,-87.6317,13.17,5.49,7.33,8,"2018",NA,7.6
"1062SFR","1062SFR",17.2587,-87.9593,6.833333,4.597705,0,0,"2023","Atoll",NA
"1064","Paranga Grounding Site",17.31848,-88.0425,6.17,4.07,16.25,6.29,"2018",NA,4.6
"1068","Sandbore SPAG site",17.4303,-87.45177,23,15.5,16.08,13.48,"2018",NA,6.7
"1076B","Mackerel Hole",17.7704,-87.9914,4.083333,1.592081,18.5,6.745369,"2023","Barrier",NA
"1076B","Mackerel Hole",17.77042,-87.99141,11.17,12.25,26.83,17.3,"2018",NA,7.5
"1077","Coral Gardens",17.81931,-87.98686,7,6.69,23.83,8.01,"2018",NA,9.5
"1079","Tres Cocos",17.93406,-87.93876,16,13.78,26.17,17.1,"2018",NA,8.3
"1080","Basil Jones",18.1125,-87.84692,20.67,13.47,27.58,17.98,"2018",NA,8.9
"1081","North of Alleys",18.17546,-87.828,8.83,7.73,39.58,6.09,"2018",NA,6
"1106","Southwest Glovers patch",16.74339,-87.85077,27.83,12.35,13.83,13.35,"2018",NA,1
"1114","WEst HalfmoonCaye park edge",17.2591,-87.5558,23.67,19.27,22.67,5.65,"2018",NA,1.1
"1128","East of Water Caye",17.38828,-88.0456,9.5,9.48,14,9.63,"2018",NA,2.6
"1177","Bugle's Caye",16.4903,-88.3236,18.67,15.77,19.5,13.94,"2018",NA,1.6
"1178","West of Laughing Bird Caye",16.45676,-88.2093,5.5,4.37,29.67,13.65,"2018",NA,7.2
"1192","Near Wee Wee Caye",16.75744,-88.14417,11.33,9.14,0.5,0.55,"2018",NA,1.7
"1194","South of Curlew (sunken caye)",16.76494,-88.0761,18.67,9.03,4.5,1.79,"2018",NA,6.1
"1206","1206DFR",17.248,-87.8334,13.833333,5.241395,16.916667,6.698362,"2023","Atoll",NA
"1206","1206SFR",17.2486,-87.8337,19.166667,7.470312,13.166667,4.258977,"2023","Atoll",NA
"1206","Bully Bay",17.25097,-87.8386,15.5,6.47,13.83,3.97,"2018",NA,1.2
"1208","South Point Wreck Site",17.15318,-87.59994,19.83,13.24,3.17,2.32,"2018",NA,1.4
"1217","Transfer Wrecksite",17.3956,-87.46557,30.5,20.28,6.08,3.2,"2018",NA,1.4
"1221","West of SAndbore Caye",17.46172,-87.49525,21.67,19.43,22.25,10.41,"2018",NA,1.3
"1223","Southwest of Maugre Caye",17.56664,-87.7489,14.5,9.77,9.5,5.58,"2018",NA,3.1
"1230","North of Caye Caulker Marine Reserve",17.79961,-87.99541,24.33,18.18,13.67,8.45,"2018",NA,1.8
"1231","North of Hol Chan MR",17.8817,-87.96947,10.83,12.19,22.5,13.75,"2018",NA,1.5
"1234","North of Mexico Rocks",18.186,-87.83305,14,15.45,13.5,9.61,"2018",NA,1.5
"2056","Sianora Dive Site",17.19558,-87.9318,9.83,6.43,6,3.74,"2018",NA,12.7
"2065","East of Turneffe Flats",17.41428,-87.8094,14,6.63,18.17,4.26,"2018",NA,3.9
"2220","West of Jack Barrow Camp",17.54819,-87.821,32.17,11.7,0,0,"2018",NA,2.9
"BZ-TAMR-01","WP4-DFR",17.38347,-87.93974,10.17,6.88,11.5,7.58,"2021",NA,12.7
"BZ-TAMR-02","WP4-BR",17.38659,-87.93578,15.33,9.71,2,1.9,"2021",NA,0.7
"BZ-TAMR-03","WP4-SFR",17.38359,-87.93821,17.67,4.63,2.17,1.72,"2021",NA,2.6
"BZ-TAMR-04","1206-DFR",17.24799,-87.83336,13.5,8.36,27.58,8.77,"2021",NA,13.1
"BZ-TAMR-05","1206-BR",17.24913,-87.83865,11.5,8.55,9.5,3.07,"2021",NA,0.9
"BZ-TAMR-06","1206-SFR",17.2486,-87.83705,16.83,10.46,11.58,7.07,"2021",NA,8.6
"BZ-TAMR-07","WP5-DFR",17.54654,-87.82282,17.17,3.87,19.83,9.66,"2021",NA,10.9
"BZ-TAMR-08","WP5-BR",17.54707,-87.82041,19.83,10.46,0.33,0.52,"2021",NA,1.9
"BZ-TAMR-09","WP5-SFR",17.54674,-87.82186,8.83,4.96,4.17,2.04,"2021",NA,7.4
"BZ-TAMR-10","MP-DFR",17.62112,-87.78891,12.17,3.06,25.5,5.29,"2021",NA,12.6
"BZ-TAMR-11","MP-SFR",17.62051,-87.78842,21.33,6.74,21,2.88,"2021",NA,7.1
"BZ-TAMR-12","CZ2-DFR",17.51001,-87.74921,8.83,2.64,23.58,8.62,"2021",NA,16.2
"BZ-TAMR-13","1062-DFR",17.2603,-87.96102,10.83,2.48,3.5,2.35,"2021",NA,13.5
"BZ-TAMR-14","1062-SFR",17.25871,-87.95925,9.33,2.5,0.5,0.84,"2021",NA,6
"BZ-TAMR-15","1062-BR",17.25613,-87.95623,10.83,3.49,0.33,0.82,"2021",NA,4
"BZ-TAMR-16","CB-SFR",17.15698,-87.90921,18.67,6.89,5.92,2.42,"2021",NA,6.5
"BZ-TAMR-17","CB-BR",17.15853,-87.91022,27,9.21,8.17,5.67,"2021",NA,3.8
"BZ-TAMR-18","SP-DFR",17.33406,-87.78709,20.33,5.39,33.33,5.82,"2021",NA,10.2
"BZ1019","South Tip of Sapodillas",16.10412,-88.32987,27,16.44,16.42,12.73,"2018",NA,3.6
"BZ1019","South Tip of Sapodillas",16.10412,-88.32987,28.83,3.71,19,3.74,"2021",NA,2.4
"BZ1019","White Reef",16.1041,-88.3299,43.833333,11.156712,5.166667,4.561311,"2023","Barrier",NA
"BZ1026","Coral Forest",16.1791,-88.34,38,9.780934,0.666667,0.745356,"2023","Barrier",NA
"BZ1032","Round Caye",16.4185,-88.0413,11.17,0.75,36.33,4.72,"2021",NA,6.6
"BZ1037","Carrie Caye",16.5175,-88.1935,12.833333,9.736814,6.5,3.354102,"2023","Lagoonal",NA
"BZ1037B","Carrie Caye",16.51861,-88.19308,2.17,3.25,7.92,4.05,"2021",NA,6.5
"BZ1041","Gladden Caye",16.558,-88.0507,13.17,8.61,8.5,6.12,"2018",NA,5.4
"BZ1041","Gladden Caye",16.558,-88.0507,14.833333,11.653564,3.833333,3.804237,"2023","Barrier",NA
"BZ1041.","Gladden Caye",16.558,-88.0507,15.17,5.6,13.25,13.27,"2021",NA,3.4
"BZ1043","South Water Caye",16.6302,-88.2061,17,13.928388,7.333333,9.994443,"2023","Lagoonal",NA
"BZ1045","Glover’s Reef Southwest",16.72,-87.8387,27.333333,9.893881,9.75,7.163274,"2023","Atoll",NA
"BZ1045","Glovers Reef Southwest",16.72,-87.8387,28.17,13.23,17.17,11.64,"2021",NA,7.5
"BZ1047","Glover’s Reef",16.7705,-87.8716,27.666667,7.824463,2.916667,3.167763,"2023","Atoll",NA
"BZ1049","Glovers Reef",16.7841,-87.75241,27.83,18.84,19.83,10.63,"2021",NA,6.1
"BZ1049","Glovers Reef, Glovers Reef",16.7841,-87.7524,31.666667,14.476034,30.416667,15.155903,"2023","Atoll",NA
"BZ1050","Glover's Northeast",16.88532,-87.70304,32.17,6.62,10.67,4.23,"2018",NA,10
"BZ1050","Glover's Reef Northeast",16.8853,-87.703,26.333333,8.076028,10.333333,7.570043,"2023","Atoll",NA
"BZ1050","Glover's Reef Northeast",16.88532,-87.70304,21.5,9.85,14.83,7.99,"2021",NA,10
"BZ1052","Glover's Reef Northwest",16.8856,-87.8102,28.33,9.27,4.5,4.32,"2021",NA,8.8
"BZ1052","Glover's Reef Northwest(east)",16.8856,-87.8102,33.166667,11.710631,5.25,4.811012,"2023","Atoll",NA
"BZ1055",NA,17.132,-87.603,26.5,18.79,9.58,6.61,"2018",NA,7
"BZ1062","1062DFR",17.2603,-87.961,12.5,7.653975,3.833333,3.236081,"2023","Atoll",NA
"BZ1063","Lighthouse",17.3513,-87.482,16.17,13.21,20.42,8.72,"2018",NA,12.5
"BZ1064","Paranga Grounding",17.3185,-88.0425,12.166667,12.562068,4.583333,4.127314,"2023","Barrier",NA
"BZ1064","Paranga Grounding Site",17.31848,-88.0425,27.67,10.03,1.83,2.14,"2021",NA,5.4
"BZ1070","North Gallows",17.4882,-88.04193,30.5,8.64,4,1.67,"2021",NA,3.9
"BZ1077","Coral Gardens",17.8193,-87.9869,4.666667,2.687419,33.5,3.947573,"2023","Barrier",NA
"BZ1077","Coral Gardens",17.81931,-87.98686,12.17,1.94,13.83,4.26,"2021",NA,6.8
"BZ1079","Tres Cocos",17.93406,-87.93876,17.5,3.67,20,6.16,"2021",NA,7.9
"BZ1079","Tres Cocos",17.9341,-87.9388,13,6.733003,40.416667,9.597815,"2023","Barrier",NA
"BZ1080","Basil Jones",18.08799,-87.86372,14.5,3.62,18,3.74,"2021",NA,7.9
"BZ1080","Basil Jones",18.088,-87.8637,7.833333,4.561311,32.583333,7.764324,"2023","Barrier",NA
"BZ1081","North of Alleys",18.17546,-87.828,17.33,5.79,28.58,19.62,"2021",NA,9.1
"BZ1098","Traps Caye",16.4953,-88.1685,14.583333,3.855912,3.5,1.384437,"2023","Lagoonal",NA
"BZ1098","Traps Caye, Moho",16.4953,-88.1685,6.83,3.06,11.83,9.91,"2021",NA,5.6
"BZ1100","Baker Caye",16.5509,-88.1996,10.5,4.04,18.67,18.54,"2021",NA,3.2
"BZ1100","Baker Caye",16.5509,-88.1996,19,13.316656,27,11.015141,"2023","Bank",NA
"BZ1103","NE Range",16.6584,-88.0956,6.916667,3.983473,27.416667,13.454914,"2023","Bank",NA
"BZ1104","North of Middle Caye",16.75118,-87.8214,6.17,3.97,40.67,7.39,"2018",NA,1.3
"BZ1104","North of Middle Caye",16.75118,-87.82139,15.5,6.19,30.92,11.1,"2021",NA,1.8
"BZ1104","North of Middle Caye",16.7512,-87.8214,15.333333,6.368324,25.416667,14.509815,"2023","Atoll",NA
"BZ1105","South Water  Caye Reef",16.7365,-88.1485,7.333333,2.624669,11.166667,6.649979,"2023","Bank",NA
"BZ1106","Southwest Glover’s Patch",16.7434,-87.8508,22.666667,9.860133,5.166667,5.920773,"2023","Atoll",NA
"BZ1106","Southwest Glovers Patch",16.74339,-87.85077,18.67,13.13,15.33,9.2,"2021",NA,1.5
"BZ1109","Glover's North inner patch",16.88644,-87.78005,13.33,2.25,22,8.88,"2018",NA,1
"BZ1109","Glover's North Inner Patch",16.8864,-87.7801,17.833333,7.38053,43.166667,16.80691,"2023","Atoll",NA
"BZ1109","Glover's North Inner Patch",16.88644,-87.78005,12.83,13.36,29.67,18.8,"2021",NA,1.2
"BZ1112","Rendezvous",17.2451,-88.0522,26.5,8.098354,1,0.816497,"2023","Barrier",NA
"BZ1112","Rendezvous Caye Patch",17.24508,-88.05223,21.5,9.89,20.17,12.24,"2018",NA,3.7
"BZ1112","Rendezvous Caye Patch",17.24508,-88.05223,41.67,7.2,2.33,2.88,"2021",NA,5.7
"BZ1118","Robinson area flats",17.3524,-88.1501,14.166667,7.690181,3.916667,3.321855,"2023","Lagoonal",NA
"BZ1124","Nothing Special",16.1548,-88.3299,12.833333,7.220726,15,5.163978,"2023","Barrier",NA
"BZ1124","Southwest of Seal Caye",16.1548,-88.3729,13.17,5.15,12.33,5.61,"2021",NA,7.6
"BZ1124","Southwest of Seal Caye",16.1548,-88.3729,16.83,7.36,19.92,3.56,"2018",NA,8.9
"BZ1128","East of Water Caye",17.385,-88.04222,39.83,18.5,0.5,0.84,"2021",NA,3.6
"BZ1128","Spanish Bay",17.3883,-88.0456,19.166667,8.02946,14.666667,10.530379,"2023","Barrier",NA
"BZ1130","Rise & Fall",16.0682,-88.3011,8,4.041452,28,21.18962,"2023","Bank",NA
"BZ1149","Seal Caye",16.1237,-88.3787,15.833333,6.76798,17.666667,8.034647,"2023","Barrier",NA
"BZ1149","Southwest of Seal Caye",16.12373,-88.37861,12.67,4.32,25.67,5.89,"2021",NA,8.4
"BZ1177","Bugle's Caye",16.4903,-88.3236,12.583333,5.64518,7.666667,5.25727,"2023","Lagoonal",NA
"BZ1177","Bugle's Caye",16.4903,-88.3236,25.67,8.26,9.83,5.08,"2021",NA,2.8
"BZ1178","NA,NA",16.4563,-88.2097,5.166667,2.339278,7.583333,3.271298,"2023","Lagoonal",NA
"BZ1178","West of Laughing Bird Caye",16.4563,-88.2097,3,2.19,32.67,13.54,"2021",NA,6.4
"BZ1186","False Caye",16.6034,-88.3342,3.333333,2.624669,34.833333,9.719682,"2023","Lagoonal",NA
"BZ1192","Wee Wee Cay",16.7574,-88.1442,8,4.966555,2.083333,2.129489,"2023","Bank",NA
"BZ1215","Robinson Point Caye",17.3568,-88.1709,2.333333,2.357023,3.833333,3.670453,"2023","Lagoonal",NA
"BZ1229","BZ1229",17.6876,-88.0161,9.666667,6.774134,7.833333,3.423773,"2023","Barrier",NA
"BZ1229","Caye Chapel",17.68764,-88.01608,43.83,8.57,4.5,3.27,"2021",NA,2.7
"BZ1230","North of Caye Caulker Marine Reserve",17.7996,-87.9954,8.333333,5.906682,16,8.051915,"2023","Barrier",NA
"BZ1230","North of Caye Caulker MR",17.79961,-87.99541,38.17,5.78,14.33,3.5,"2021",NA,2.3
"BZ1231","North of Hol Chan Marine Reserve",17.8817,-87.9695,5.333333,2.134375,21.583333,9.532474,"2023","Barrier",NA
"BZ1231","North of Hol Chan MR",17.8817,-87.96947,9,3.52,25.33,3.2,"2021",NA,0.9
"BZ1234","North of Mexico Rocks",18.186,-87.83305,12.17,12.46,12.5,13.31,"2021",NA,1.1
"BZ2027",NA,16.2472,-88.176,16.17,12.72,20.42,7.88,"2018",NA,8.9
"BZ2027B",NA,16.24728,-88.17989,15.67,5.13,17.33,1.37,"2021",NA,7.2
"BZ2054","Caye Glory",17.0975,-88.0077,11.5,7.205322,7.833333,2.733537,"2023","Barrier",NA
"BZ2061","Lighthouse",17.2574,-87.572,21.33,14.75,5,5.73,"2018",NA,7.2
"BZ2066","Lighthouse",17.3097,-87.584,26.33,17.06,6.17,7.94,"2018",NA,9.5
"BZ2070","Gallows",17.4496,-88.0324,46.17,5.12,0,0,"2021",NA,1.5
"BZ2070","Gallows Flat",17.4496,-88.0324,12.5,3.02,23.17,3.43,"2018",NA,8.4
"BZ2202","Lighthouse",17.129,-87.615,20.83,16.98,8.33,7.07,"2018",NA,1.1
"BZBCCB01","Barracuda Patch",18.16878,-87.834,13.17,8.52,20,11.31,"2021",NA,1.5
"BZBCCB01","Barracuda Patch",18.16878,-87.834,13.33,14.94,25.67,11.17,"2018",NA,2.2
"BZCGMF","Caye Glory",17.0853,-87.9878,11,8.75595,13.666667,5.153208,"2023","Barrier",NA
"BZHCCD01","BZHCCD01",17.8684,-87.9722,13.5,3.774917,29.5,8.784456,"2023","Barrier",NA
"BZHCCD02","BZHCCD02",17.8426,-87.9794,10.714286,4.772369,31.571429,10.47592,"2023","Barrier",NA
"BZPHMR02","BZPHMR02",16.1595,-88.4102,20.833333,3.97562,8.166667,1.950783,"2023","Barrier",NA
"BZSCMR","Preservation Zone",16.1506,-88.2429,12,6.244998,8,2.645751,"2023","Barrier",NA
"CBDFR","CBDFR",17.157,-87.9079,20.666667,6.896054,23.583333,7.865625,"2023","Atoll",NA
"CC01","Corona Caiman",15.95446,-88.28024,59.83,13.64,9.67,4.68,"2021",NA,10.9
"CC01","Corona Caiman",15.9545,-88.2802,50.333333,13.682917,11.666667,6.944222,"2023","Bank",NA
"CC02","Corona Caiman sensor temp",15.9695,-88.2985,24.666667,10.79609,28,11.135529,"2023","Bank",NA
"CC02","Corona Caiman sensor temp",15.96953,-88.29851,31.33,7.76,38.42,7.86,"2021",NA,14.8
"CCSC","Caye Caulker Southern Channel",17.7256,-88.0109,11.666667,5.647025,16.166667,3.531603,"2023","Barrier",NA
"Coral Lane","Coral Lane",17.3072,-88.0538,27.333333,10.624918,1,1.154701,"2023","Barrier",NA
"CZ2_DFR","Cockroach Zone",17.51,-87.7492,7.833333,2.67187,9.333333,5.734884,"2023","Atoll",NA
"CZFR2","CZFR2",16.7369,-87.8077,23.166667,12.428685,27.583333,8.852573,"2023","Atoll",NA
"CZFR2",NA,16.73689,-87.80771,23.83,9.11,16,6.2,"2018",NA,13.4
"CZPR4",NA,16.76369,-87.80431,25.17,9.89,9.83,4.58,"2018",NA,1.3
"Goff's Caye","Goff's Caye",17.3521,-88.0385,33.5,11.800424,6,7.83156,"2023","Barrier",NA
"GSMBRS1","Gladden Spit",16.45231,-88.04171,35,8.22,10,3.29,"2021",NA,3
"HolChan","Hol Chan",17.85897,-87.97327,22.83,2.64,42.67,11.08,"2021",NA,15.4
"LBCMBRS1","Laughing Bird 1",16.42794,-88.20604,9.33,3.56,9.67,4.59,"2021",NA,6.7
"LBCMBRS1","Laughing Bird Caye 1",16.4279,-88.206,6.833333,3.484091,13.583333,9.497441,"2023","Lagoonal",NA
"LBCMBRS2","Laughing Bird 2",16.44383,-88.19778,7.67,6.11,26.67,12.74,"2021",NA,1.5
"LBCMBRS2","Laughing Bird Caye 2",16.4438,-88.1978,7.333333,6.968182,8.416667,2.387758,"2023","Lagoonal",NA
"MP_DFR","Mauger Point",17.6211,-87.7889,13.666667,3.72678,14.916667,5.790917,"2023","Atoll",NA
"MP_SFR","Mauger Point",17.6205,-87.7884,26.666667,3.681787,23.75,7.537407,"2023","Atoll",NA
"MXRCK","Mexico Rocks",17.99067,-87.90297,20.17,3.54,29.17,15.32,"2021",NA,14.1
"MXRCK","Mexico Rocks",17.9907,-87.903,9.166667,2.910708,40.416667,10.802842,"2023","Barrier",NA
"Nicholas Caye","Nicholas Caye",16.1123,-88.256,21,10.954451,16.166667,6.309164,"2023","Barrier",NA
"PHMR 01","Bank 3",16.15347,-88.59154,3.17,2.64,25,7.18,"2021",NA,8.4
"PHMR 02","Frenchman",16.17925,-88.63641,16.5,11.64,9.58,6.62,"2021",NA,4.3
"PHMR 03","Daly Bank",16.33055,-88.34744,11,3.69,7.58,2.01,"2021",NA,9.3
"PHMR 04","Spanish Bank",16.15952,-88.41018,9.67,1.37,10.17,3.71,"2021",NA,8.7
"PHMR 05","East Snake Caye",16.20594,-88.50809,16.33,9.11,9.83,4.31,"2021",NA,4.9
"PHMR 06","Middle Snake Caye",16.20153,-88.55112,15.33,4.41,10.17,3.54,"2021",NA,3.1
"PHMR 07","West Snake Caye",16.18875,-88.56981,18,7.85,8.17,7.25,"2021",NA,3.3
"PHMR 08","South Snake Caye",16.17914,-88.56445,11.83,3.66,5.42,1.96,"2021",NA,2.2
"PHMR 09","Wilson Caye",16.22111,-88.58796,9.67,10.67,15.67,5.13,"2021",NA,2.6
"PHMR 10","BANK 2",16.17936,-88.55684,10.17,6.27,4.17,4.36,"2021",NA,3
"R01","LHRA",17.4735,-87.4864,5.25,4.085034,36.5,10.535654,"2023","Atoll",NA
"R02","LHRA",17.4719,-87.4873,4,3.570714,34,17.242752,"2023","Atoll",NA
"R03","LHRA",17.4618,-87.4986,8,5.049752,20.25,9.36416,"2023","Atoll",NA
"R04","LHRA",17.4459,-87.5283,9.75,4.115519,28.6875,6.9684,"2023","Atoll",NA
"R05","LHRA",17.4432,-87.5293,15.5,5.074446,19.3125,9.079295,"2023","Atoll",NA
"R06","LHRA",17.3923,-87.4624,8,4.555217,15.0625,8.726531,"2023","Atoll",NA
"R07","LHRA",17.3936,-87.4635,17.25,10.859903,1,1.322876,"2023","Atoll",NA
"R08","LHRA",17.3837,-87.5184,3.875,3.550968,65.8125,17.360043,"2023","Atoll",NA
"R10 DFR","LHRA",17.3097,-87.5836,16.75,6.703544,15.5,6.264982,"2023","Atoll",NA
"R10 DFR","R10 DFR",17.3097,-87.58365,15.83,10.25,2.17,2.93,"2021",NA,2.2
"R11 SFR","LHRA",17.2574,-87.572,11.5,4.527693,7.5,3.427827,"2023","Atoll",NA
"R11 SFR","R11 SFR",17.25742,-87.57198,17,3.74,7.17,4.17,"2021",NA,4.8
"R12","LHRA",17.2243,-87.6046,10.75,5.30919,5.5,3.570714,"2023","Atoll",NA
"R13 SFR","LHRA",17.226,-87.6015,20.571429,6.52155,25.428571,3.499271,"2023","Atoll",NA
"R13 SFR","R13 SFR",17.22598,-87.60154,12.83,6.55,40.25,1.57,"2021",NA,7.6
"R14","LHRA",17.2237,-87.5638,12.5,5.123475,28.0625,13.354394,"2023","Atoll",NA
"R15 DFR","LHRA",17.2032,-87.5422,13.875,7.606535,26.4375,10.372552,"2023","Atoll",NA
"R15 DFR","R15 DFR",17.20323,-87.54223,15.33,6.31,30.67,4.46,"2021",NA,10.7
"R16 DFR","LHRA",17.2032,-87.5249,5.75,5.606915,11,8.019507,"2023","Atoll",NA
"R16 DFR","R16 DFR",17.20319,-87.52493,2.67,1.86,23.17,1.57,"2021",NA,10.7
"R17 SFR","LHRA",17.2034,-87.5281,5.375,4.662014,0.75,1.089725,"2023","Atoll",NA
"R17 SFR","R17 SFR",17.20341,-87.52811,5.83,4.4,0,0,"2021",NA,4.8
"R18 BR","LHRA",17.1862,-87.6121,23.25,8.332917,7.375,6.32332,"2023","Atoll",NA
"R18 BR","R18 BR",17.18617,-87.61214,17.33,4.41,13.5,3.82,"2021",NA,1.8
"R19","LHRA",17.1242,-87.6208,5.285714,4.164966,48.928571,7.408627,"2023","Atoll",NA
"R2 SFR","R2 SFR",17.47189,-87.48732,4.67,3.56,22.83,12.25,"2021",NA,4.6
"R20 SFR","LHRA",17.131,-87.6064,11.5,9.041571,5.5,3.418699,"2023","Atoll",NA
"R20 SFR","R20 SFR",17.13101,-87.60639,10.83,6.43,7.67,4.13,"2021",NA,6.2
"R21 BR","LHRA",17.1352,-87.6206,6.25,4.575751,35.875,9.05107,"2023","Atoll",NA
"R21 BR","R21 BR",17.13524,-87.62064,6.5,2.51,34.25,10.28,"2021",NA,1.7
"R22","LHRA",17.4381,-87.534,3.875,2.315032,4.875,5.754075,"2023","Atoll",NA
"R23","LHRA",17.2066,-87.5307,9.125,6.173279,8.75,3.112475,"2023","Atoll",NA
"R24","LHRA",17.3147,-87.5345,14,5.315073,32.75,7.416198,"2023","Atoll",NA
"R4 DFR","R4 DFR",17.44595,-87.52826,9.33,3.5,37.25,4.33,"2021",NA,9.8
"R6 DFR","R6 DFR",17.39226,-87.46236,14.33,4.03,11.33,6.32,"2021",NA,10.7
"R7 SFR","R7 SFR",17.39364,-87.46348,17.67,9.18,12.67,5.85,"2021",NA,6.2
"R9 BR","LHRA",17.3165,-87.5302,10.375,3.603384,18.4375,9.298647,"2023","Atoll",NA
"R9 BR","R9 BR",17.31648,-87.53019,6.5,2.81,17.67,6.56,"2021",NA,2.2
"SP_DFR","Soldier Point",17.3341,-87.7871,13.416667,5.80529,23.75,5.505679,"2023","Atoll",NA
"SWCCZFR1","SWCCZFR1",16.88466,-88.06055,27.17,5.81,48,7.13,"2021",NA,15.4
"SWCCZFR1","SWCCZFR1",16.8847,-88.0606,22.666667,9.049248,21.5,5.619905,"2023","Barrier",NA
"SWCCZFR2","SWCCZFR2",16.8679,-88.0649,13.666667,8.013877,33.333333,7.272475,"2023","Barrier",NA
"SWCCZFR2","SWCCZFR2",16.86792,-88.06493,24.33,9.95,41.5,12.05,"2021",NA,15.5
"SWCCZFR3","SWCCZFR3",16.8499,-88.0709,22.333333,11.642833,28.333333,4.307616,"2023","Barrier",NA
"SWCCZFR3","SWCCZFR3",16.84992,-88.07088,45.83,10.98,31.17,9.62,"2021",NA,13.7
"SWCCZFR4","SWCCZFR4",16.83489,-88.07456,25.83,4.36,38.17,6.31,"2021",NA,13.1
"SWCCZFR4","SWCCZFR4",16.8349,-88.0746,17.666667,4.027682,28.5,9.429563,"2023","Barrier",NA
"SWCCZFR5","SWCCZFR5",16.81828,-88.07736,25.67,5.57,39.5,14.43,"2021",NA,13.4
"SWCCZFR5","SWCCZFR5",16.8183,-88.0774,15.5,7.719024,29.5,10.340052,"2023","Barrier",NA
"SWCCZFR6","SWCCZFR6",16.8131,-88.07774,29.5,6.5,23.5,10.99,"2021",NA,16
"SWCCZFR6","SWCCZFR6",16.8131,-88.0777,14,7.164728,30.333333,8.299933,"2023","Barrier",NA
"SWCGUZFR1","SWCGUZFR1",16.9142,-88.0499,17.166667,10.83846,29,8.062258,"2023","Barrier",NA
"SWCGUZFR1","SWCGUZFR1",16.91421,-88.04989,11.33,7.51,40.67,12.58,"2021",NA,12.6
"SWCGUZFR2","SWCGUZFR2",16.9036,-88.0542,14.166667,9.42367,24.166667,7.581044,"2023","Barrier",NA
"SWCGUZFR2","SWCGUZFR2",16.90361,-88.05419,20.83,8.3,35.5,8.17,"2021",NA,14
"SWCGUZFR3","SWCGUZFR3",16.78895,-88.07572,22.67,2.94,32.67,10.46,"2021",NA,14
"SWCGUZFR3","SWCGUZFR3",16.789,-88.0757,12.666667,6.823163,21.5,12.645816,"2023","Barrier",NA
"SWCGUZFR4","SWCGUZFR4",16.77758,-88.07501,10,6.26,38,20.24,"2021",NA,15.2
"SWCGUZFR4","SWCGUZFR4",16.7776,-88.075,17.166667,4.879094,19.833333,6.618577,"2023","Barrier",NA
"SWCGUZFR5","SWCGUZFR5",16.76858,-88.07501,38,5.66,35.5,7.18,"2021",NA,11.8
"SWCGUZFR5","SWCGUZFR5",16.7686,-88.075,13.166667,6.865777,22.833333,3.715583,"2023","Barrier",NA
"SWCGUZFR6","SWCGUZFR6",16.76079,-88.07356,27.67,6.35,22,10.08,"2021",NA,13.1
"SWCGUZFR6","SWCGUZFR6",16.7608,-88.0736,16.5,8.902247,18,5.802298,"2023","Barrier",NA
"WFR4",NA,16.81538,-87.85217,34.33,12.18,4.83,6.34,"2018",NA,8.1
"WFR6",NA,16.83796,-87.84392,33.83,14.3,3.33,3.72,"2018",NA,7.7
"WP3","Way Point 3",17.4481,-88.0584,17.333333,9.843215,1.166667,1.674979,"2023","Barrier",NA
"WP4_BR","West Point 4",17.3866,-87.9358,22.166667,7.624886,0.333333,0.471405,"2023","Atoll",NA
"WP4_DFR","West Point 4",17.3835,-87.9397,11.166667,4.058599,6,2.886751,"2023","Atoll",NA
"WP4_SFR","West Point 4",17.3836,-87.9382,10.166667,6.256108,1.5,1.384437,"2023","Atoll",NA
"WP5_DFR","West Point 5",17.5465,-87.8228,19.666667,6.472163,13,6.429101,"2023","Atoll",NA
"WP5_SFR","West Point 5",17.5467,-87.8219,38.833333,7.733405,0.166667,0.372678,"2023","Atoll",NA
"WQ4","WQ4",17.43809,-87.534,8.5,0.84,1.17,1.6,"2021",NA,1.6
NA,"BZ1081",18.1755,-87.828,4.666667,3.496029,38.5,7.756718,"2023","Barrier",NA
NA,"BZ1234",18.1807,-87.8284,2.666667,2.285218,40.75,4.845531,"2023","Barrier",NA
NA,"CBSFR",17.157,-87.9092,20.5,9.517528,4.166667,2.67187,"2023","Atoll",NA
NA,"CZ2_SFR",17.5101,-87.7499,15.833333,4.980518,9.166667,1.86339,"2023","Atoll",NA
NA,"Pompion",16.3731,-88.0892,7.333333,2.357023,42.833333,14.02874,"2023","Barrier",NA
NA,"Ranguana",16.331,-88.1497,15.333333,4.189935,10.166667,7.67391,"2023","Bank",NA
NA,"SP_SFR",17.3344,-87.7877,18.333333,7.249521,11.25,2.512469,"2023","Atoll",NA
