"Code","Name","Latitude","Longitude","tACANavg","tACANstd","tSCARavg","tSCARstd","YEAR","tHerbiBiomass","Reef Type","Depth"
"1032","Round Caye",16.4185,-88.0413,196,258,1874,1567,"2018",2070,NA,6.1
"1037","Carrie Caye",16.51746,-88.19352,175,433,1215,1640,"2018",1390,NA,6.2
"1038","Big White-Gladden Channel",16.5079,-87.9707,85,130,499,777,"2018",584,NA,7.1
"1044","South of Carrie Bow Caye",16.64572,-88.0662,1004,1155,1584,1214,"2018",2588,NA,4.6
"1045","Glover's Southwest",16.72,-87.8387,120,121,849,1134,"2018",969,NA,10.3
"1052","Glover's NW",16.8856,-87.8102,70,93,1100,699,"2018",1170,NA,4.9
"1057","West of Hat Caye",17.1692,-87.6317,367,470,1216,1384,"2018",1583,NA,7.2
"1062_BR","1062_BR",17.25613,-87.95623,514,361,1788,914,"2018",2302,NA,7.6
"1062_DFR","1062_DFR",17.25871,-87.95925,500,462,1187,975,"2018",1687,NA,10.7
"1062_SFR","1062_SFR",17.2603,-87.96102,710,374,1695,1882,"2018",2405,NA,7.6
"1062SFR","1062SFR",17.2587,-87.9593,110.09669131869,80.306859304412,460.45197971602,506.71063145405,"2023",570.54867103471,"Atoll",NA
"1064","Paranga Grounding Site",17.31848,-88.0425,471,341,4571,4022,"2018",5042,NA,4.2
"1068","Sandbore SPAG site",17.4303,-87.45177,478,317,1667,1692,"2018",2145,NA,6.1
"1071_DFR","1071_DFR",17.47784,-87.78187,800,1042,2284,2194,"2018",3084,NA,10.7
"1071_SFR","1071_SFR",17.47736,-87.78485,658,667,837,833,"2018",1495,NA,7.6
"1076B","Mackerel Hole",17.7704,-87.9914,623.7736259496,459.95369419789,3501.1493016989,4300.5513755193,"2023",4124.9229276485,"Barrier",NA
"1076B","Mackerel Hole",17.77042,-87.99141,865,535,1789,791,"2018",2654,NA,7
"1077","Coral Gardens",17.81931,-87.98686,487,390,617,545,"2018",1104,NA,9.7
"1079","Tres Cocos",17.93406,-87.93876,270,131,96,289,"2018",366,NA,5.3
"1080","Basil Jones",18.1125,-87.84692,447,542,376,326,"2018",823,NA,9.6
"1081","North of Alleys",18.17546,-87.828,248,160,185,202,"2018",433,NA,5.8
"1106","Southwest Glovers patch",16.74339,-87.85077,115,130,403,746,"2018",518,NA,1.2
"1114","WEst HalfmoonCaye park edge",17.2591,-87.5558,910,814,2357,2257,"2018",3267,NA,1.9
"1128","East of Water Caye",17.38828,-88.0456,165,223,1639,2768,"2018",1804,NA,2.1
"1177","Bugle's Caye",16.4903,-88.3236,40,79,1969,1287,"2018",2009,NA,2.5
"1178","West of Laughing Bird Caye",16.45676,-88.2093,237,433,1689,1965,"2018",1926,NA,7.3
"1192","Near Wee Wee Caye",16.75744,-88.14417,285,433,2963,1866,"2018",3248,NA,1.4
"1194","South of Curlew (sunken caye)",16.76494,-88.0761,192,248,947,1046,"2018",1139,NA,6.1
"1206","1206DFR",17.248,-87.8334,364.24683156814,640.25001664591,770.33440709208,732.42506617931,"2023",1134.58123866022,"Atoll",NA
"1206","1206SFR",17.2486,-87.8337,272.60781964782,289.22371552474,923.12247740644,959.69228015776,"2023",1195.73029705426,"Atoll",NA
"1206","Bully Bay",17.25097,-87.8386,198,244,1631,895,"2018",1829,NA,1
"1206_DFR","1206_DFR",17.24799,-87.83337,549,680,3512,1877,"2018",4061,NA,10.7
"1206_SFR","1206_SFR",17.2486,-87.83705,82,121,520,551,"2018",602,NA,7.6
"1208","South Point Wreck Site",17.15318,-87.59994,246,337,901,1144,"2018",1147,NA,1.5
"1217","Transfer Wrecksite",17.3956,-87.46557,2582,6556,334,520,"2018",2916,NA,1.5
"1221","West of SAndbore Caye",17.46172,-87.49525,261,230,2196,2113,"2018",2457,NA,1.5
"1223","Southwest of Maugre Caye",17.56664,-87.7489,2201,3358,2273,2344,"2018",4474,NA,1
"1230","North of Caye Caulker Marine Reserve",17.79961,-87.99541,1002,894,1163,1109,"2018",2165,NA,1.4
"1231","North of Hol Chan MR",17.8817,-87.96947,422,327,879,972,"2018",1301,NA,5.8
"1234","North of Mexico Rocks",18.186,-87.83305,180,129,92,233,"2018",272,NA,5.9
"2056","Sianora Dive Site",17.19558,-87.9318,794,765,1321,1816,"2018",2115,NA,11.3
"2065","East of Turneffe Flats",17.41428,-87.8094,2888,3532,2098,2163,"2018",4986,NA,4.7
"2220","West of Jack Barrow Camp",17.54819,-87.821,269,537,3746,3515,"2018",4015,NA,1
"BCMR31","BCMR31",18.11352,-87.83405,365,369,607,634,"2018",972,NA,14.2
"BCMR39","BCMR39",18.09995,-87.85304,445,373,878,1016,"2018",1323,NA,14.5
"BZ-TAMR-01","WP4-DFR",17.38347,-87.93974,62,80,1193,865,"2021",1255,NA,12.4
"BZ-TAMR-02","WP4-BR",17.38659,-87.93578,60,92,342,867,"2021",402,NA,1.9
"BZ-TAMR-03","WP4-SFR",17.38359,-87.93821,244,513,216,448,"2021",460,NA,1.9
"BZ-TAMR-04","1206-DFR",17.24799,-87.83336,45,99,569,742,"2021",614,NA,12.3
"BZ-TAMR-05","1206-BR",17.24913,-87.83865,96,108,590,922,"2021",686,NA,1.2
"BZ-TAMR-06","1206-SFR",17.2486,-87.83705,204,191,1169,1383,"2021",1373,NA,9.5
"BZ-TAMR-07","WP5-DFR",17.54654,-87.82282,68,62,405,485,"2021",473,NA,10.1
"BZ-TAMR-08","WP5-BR",17.54707,-87.82041,98,170,257,347,"2021",355,NA,2
"BZ-TAMR-09","WP5-SFR",17.54674,-87.82186,170,252,919,524,"2021",1089,NA,6.7
"BZ-TAMR-10","MP-DFR",17.62112,-87.78891,464,686,1458,1224,"2021",1922,NA,11.5
"BZ-TAMR-11","MP-SFR",17.62051,-87.78842,292,222,2377,1455,"2021",2669,NA,7
"BZ-TAMR-12","CZ2-DFR",17.51001,-87.74921,266,266,1132,1293,"2021",1398,NA,15
"BZ-TAMR-13","1062-DFR",17.2603,-87.96102,678,768,437,367,"2021",1115,NA,12.2
"BZ-TAMR-14","1062-SFR",17.25871,-87.95925,757,1138,649,759,"2021",1406,NA,5
"BZ-TAMR-15","1062-BR",17.25613,-87.95623,161,115,961,1434,"2021",1122,NA,2.6
"BZ-TAMR-16","CB-SFR",17.15698,-87.90921,768,501,1177,1785,"2021",1945,NA,5.9
"BZ-TAMR-17","CB-BR",17.15853,-87.91022,804,1608,1574,2215,"2021",2378,NA,3
"BZ-TAMR-18","SP-DFR",17.33406,-87.78709,706,1710,736,1011,"2021",1442,NA,9.2
"BZ1019","South Tip of Sapodillas",16.10412,-88.32987,12,10,1215,792,"2021",1227,NA,2.3
"BZ1019","South Tip of Sapodillas",16.10412,-88.32987,110,156,2646,2485,"2018",2756,NA,3
"BZ1019","White Reef",16.1041,-88.3299,4150.5065747944,11794.783898661,5758.8515438715,5708.7195620054,"2023",9909.3581186659,"Barrier",NA
"BZ1026","Coral Forest",16.1791,-88.34,1756.2702142186,4057.8186830095,5630.5469927845,4106.7237251193,"2023",7386.8172070031,"Barrier",NA
"BZ1032","Round Caye",16.4185,-88.0413,246,150,319,372,"2021",565,NA,6.4
"BZ1037","Carrie Caye",16.5175,-88.1935,129.70386058847,229.46979718903,3001.6704780822,2573.5126837986,"2023",3131.37433867067,"Lagoonal",NA
"BZ1037B","Carrie Caye",16.51861,-88.19308,1,3,1051,1046,"2021",1052,NA,5.8
"BZ1041","Gladden Caye",16.558,-88.0507,20,27,669,1037,"2018",689,NA,2.5
"BZ1041","Gladden Caye",16.558,-88.0507,1983.7944868206,3831.6805470785,1869.9484023178,3167.9317269766,"2023",3853.7428891384,"Barrier",NA
"BZ1041.","Gladden Caye",16.558,-88.0507,392,1055,1981,3174,"2021",2373,NA,3.7
"BZ1043","South Water Caye",16.6302,-88.2061,0,0,1756.522205176,3786.8641422991,"2023",1756.522205176,"Lagoonal",NA
"BZ1045","Glover’s Reef Southwest",16.72,-87.8387,767.23890145349,536.46427691823,2788.1209623471,2119.9539559111,"2023",3555.35986380059,"Atoll",NA
"BZ1045","Glovers Reef Southwest",16.72,-87.8387,121,161,319,471,"2021",440,NA,6.2
"BZ1047","Glover’s Reef",16.7705,-87.8716,292.05701096259,237.04736574281,8096.9445123495,5143.3060478528,"2023",8389.00152331209,"Atoll",NA
"BZ1049","Glovers Reef",16.7841,-87.75241,308,263,1176,2338,"2021",1484,NA,4.6
"BZ1049","Glovers Reef, Glovers Reef",16.7841,-87.7524,583.28743940775,557.05321148929,1980.9470274634,2489.8702863959,"2023",2564.23446687115,"Atoll",NA
"BZ1050","Glover's Northeast",16.88532,-87.70304,82,110,876,1028,"2018",958,NA,9.9
"BZ1050","Glover's Reef Northeast",16.8853,-87.703,430.67409815064,415.39883550788,4280.4287543268,4218.7627791646,"2023",4711.10285247744,"Atoll",NA
"BZ1050","Glover's Reef Northeast",16.88532,-87.70304,38,43,361,736,"2021",399,NA,7.5
"BZ1052","Glover's Reef Northwest",16.8856,-87.8102,80,121,566,548,"2021",646,NA,5.4
"BZ1052","Glover's Reef Northwest(east)",16.8856,-87.8102,102.68363551353,79.631667577475,5359.611574423,6977.6542860429,"2023",5462.29520993653,"Atoll",NA
"BZ1055",NA,17.132,-87.603,525,348,858,761,"2018",1383,NA,6.4
"BZ1062","1062DFR",17.2603,-87.961,140.26267588819,144.15761421933,832.49797415658,1137.7846521645,"2023",972.76065004477,"Atoll",NA
"BZ1063","Lighthouse",17.3513,-87.482,942,665,963,1247,"2018",1905,NA,11.7
"BZ1064","Paranga Grounding",17.3185,-88.0425,647.96877042206,711.63489708654,1749.1147768717,2094.6055596346,"2023",2397.08354729376,"Barrier",NA
"BZ1064","Paranga Grounding Site",17.31848,-88.0425,311,273,4531,3065,"2021",4842,NA,4.3
"BZ1070","North Gallows",17.4882,-88.04193,1440,3384,1773,1159,"2021",3213,NA,3.5
"BZ1077","Coral Gardens",17.8193,-87.9869,233.76394546254,237.66165440003,992.48325739804,984.35579101597,"2023",1226.24720286058,"Barrier",NA
"BZ1077","Coral Gardens",17.81931,-87.98686,293,403,1243,1304,"2021",1536,NA,6.6
"BZ1079","Tres Cocos",17.93406,-87.93876,459,245,2810,3395,"2021",3269,NA,7.7
"BZ1079","Tres Cocos",17.9341,-87.9388,258.79542020978,306.70879781104,1514.5989059053,2320.2615479119,"2023",1773.39432611508,"Barrier",NA
"BZ1080","Basil Jones",18.08799,-87.86372,577,271,2481,4056,"2021",3058,NA,6.5
"BZ1080","Basil Jones",18.088,-87.8637,337.99574955006,319.65361996394,2003.3249676534,1609.4600567259,"2023",2341.32071720346,"Barrier",NA
"BZ1081","North of Alleys",18.17546,-87.828,1139,1350,1558,1706,"2021",2697,NA,7.8
"BZ1098","Traps Caye",16.4953,-88.1685,76.836568900686,122.61786088691,3415.0144684983,2348.4783142331,"2023",3491.85103739899,"Lagoonal",NA
"BZ1098","Traps Caye, Moho",16.4953,-88.1685,9,28,906,1185,"2021",915,NA,5.9
"BZ1100","Baker Caye",16.5509,-88.1996,0,0,88.606596382602,144.40113096352,"2023",88.606596382602,"Bank",NA
"BZ1100","Baker Caye",16.5509,-88.1996,0,0,255,398,"2021",255,NA,2.8
"BZ1103","NE Range",16.6584,-88.0956,835.10232021412,1193.1524221648,573.80254685471,288.28290587192,"2023",1408.90486706883,"Bank",NA
"BZ1104","North of Middle Caye",16.75118,-87.8214,606,848,2351,1943,"2018",2957,NA,1.5
"BZ1104","North of Middle Caye",16.75118,-87.82139,25,46,214,328,"2021",239,NA,2.7
"BZ1104","North of Middle Caye",16.7512,-87.8214,5777.2575790258,14480.191173883,989.52317918393,1081.4654569419,"2023",6766.78075820973,"Atoll",NA
"BZ1105","South Water  Caye Reef",16.7365,-88.1485,250.4080980373,528.94793470107,541.36065361419,662.32583609375,"2023",791.76875165149,"Bank",NA
"BZ1106","Southwest Glover’s Patch",16.7434,-87.8508,2931.6438367495,5475.6399956637,2921.2976467738,2906.7266375505,"2023",5852.9414835233,"Atoll",NA
"BZ1106","Southwest Glovers Patch",16.74339,-87.85077,121,177,1435,1806,"2021",1556,NA,1.9
"BZ1109","Glover's North inner patch",16.88644,-87.78005,158,229,142,257,"2018",300,NA,1.3
"BZ1109","Glover's North Inner Patch",16.8864,-87.7801,1559.1720622937,2402.4554968924,272.96366030124,266.44263956067,"2023",1832.13572259494,"Atoll",NA
"BZ1109","Glover's North Inner Patch",16.88644,-87.78005,32,83,9,10,"2021",41,NA,1.2
"BZ1112","Rendezvous",17.2451,-88.0522,238.20548099683,458.87867681678,1567.8824312433,1054.7037843903,"2023",1806.08791224013,"Barrier",NA
"BZ1112","Rendezvous Caye Patch",17.24508,-88.05223,8,14,2332,1110,"2021",2340,NA,5.9
"BZ1112","Rendezvous Caye Patch",17.24508,-88.05223,585,829,6868,4155,"2018",7453,NA,8.8
"BZ1118","Robinson area flats",17.3524,-88.1501,900.23308642147,1032.3855368124,758.19601136715,890.43737915637,"2023",1658.42909778862,"Lagoonal",NA
"BZ1124","Nothing Special",16.1548,-88.3299,188.0699103243,368.8061567664,3105.4760843316,1017.2743091076,"2023",3293.5459946559,"Barrier",NA
"BZ1124","Southwest of Seal Caye",16.1548,-88.3729,0,0,904,607,"2021",904,NA,8
"BZ1124","Southwest of Seal Caye",16.1548,-88.3729,168,307,2137,1179,"2018",2305,NA,10.3
"BZ1128","East of Water Caye",17.385,-88.04222,3335,9359,1421,904,"2021",4756,NA,2.4
"BZ1128","Spanish Bay",17.3883,-88.0456,153.02881484613,251.27281565556,1611.3078310271,1056.9634358556,"2023",1764.33664587323,"Barrier",NA
"BZ1130","Rise & Fall",16.0682,-88.3011,498.83832774784,439.57467624511,1981.6316415476,1626.1561705537,"2023",2480.46996929544,"Bank",NA
"BZ1149","Seal Caye",16.1237,-88.3787,4441.1377859378,13080.247053824,4451.6637097493,2599.9687755671,"2023",8892.8014956871,"Barrier",NA
"BZ1149","Southwest of Seal Caye",16.12373,-88.37861,440,1278,1020,299,"2021",1460,NA,8.3
"BZ1177","Bugle's Caye",16.4903,-88.3236,91,258,226,243,"2021",317,NA,2.7
"BZ1177","Bugle's Caye",16.4903,-88.3236,217.78181466858,578.61395045132,2072.6497955639,1898.5526268094,"2023",2290.43161023248,"Lagoonal",NA
"BZ1178","NA,NA",16.4563,-88.2097,65.866824593245,130.39377889008,2019.0870007263,2125.8723279006,"2023",2084.95382531955,"Lagoonal",NA
"BZ1178","West of Laughing Bird Caye",16.4563,-88.2097,49,109,1162,1397,"2021",1211,NA,6.5
"BZ1186","False Caye",16.6034,-88.3342,0,0,1930.7894239851,1135.4171292102,"2023",1930.7894239851,"Lagoonal",NA
"BZ1192","Wee Wee Cay",16.7574,-88.1442,737.94215507288,1017.7190519861,988.5815298812,998.93077442254,"2023",1726.52368495408,"Bank",NA
"BZ1215","Robinson Point Caye",17.3568,-88.1709,181.39288731304,345.05225948557,589.42546360267,734.65932859956,"2023",770.81835091571,"Lagoonal",NA
"BZ1229","BZ1229",17.6876,-88.0161,4076.7764247784,9050.14894678,5401.8818262217,1696.4803647476,"2023",9478.6582510001,"Barrier",NA
"BZ1229","Caye Chapel",17.68764,-88.01608,185,135,1644,1383,"2021",1829,NA,1.8
"BZ1230","North of Caye Caulker Marine Reserve",17.7996,-87.9954,360.06699613396,443.88586466697,1789.7779891856,1117.6597887122,"2023",2149.84498531956,"Barrier",NA
"BZ1230","North of Caye Caulker MR",17.79961,-87.99541,63,132,401,614,"2021",464,NA,2.3
"BZ1231","North of Hol Chan Marine Reserve",17.8817,-87.9695,121.13534438323,285.19601174938,293.77708456239,466.21323819161,"2023",414.91242894562,"Barrier",NA
"BZ1231","North of Hol Chan MR",17.8817,-87.96947,232,381,61,185,"2021",293,NA,1.3
"BZ1234","North of Mexico Rocks",18.186,-87.83305,263,311,802,1004,"2021",1065,NA,1.6
"BZ2027",NA,16.2472,-88.176,129,214,1215,1251,"2018",1344,NA,9.1
"BZ2027B",NA,16.24728,-88.17989,104,151,97,168,"2021",201,NA,8
"BZ2054","Caye Glory",17.0975,-88.0077,642.02944591173,310.44381823403,2556.3766364051,881.24054293874,"2023",3198.40608231683,"Barrier",NA
"BZ2061","Lighthouse",17.2574,-87.572,1342,828,1252,1148,"2018",2594,NA,6.1
"BZ2066","Lighthouse",17.3097,-87.584,1622,1104,1269,1065,"2018",2891,NA,8.9
"BZ2070","Gallows",17.4496,-88.0324,2658,5544,1178,1053,"2021",3836,NA,1.4
"BZ2070","Gallows Flat",17.4496,-88.0324,1534,3423,2898,3186,"2018",4432,NA,8.9
"BZ2202","Lighthouse",17.129,-87.615,296,349,124,174,"2018",420,NA,0.9
"BZBCCB01","Barracuda Patch",18.16878,-87.834,315,291,725,693,"2018",1040,NA,5.5
"BZBCCB01","Barracuda Patch",18.16878,-87.834,358,373,3261,4410,"2021",3619,NA,1.8
"BZCGMF","Caye Glory",17.0853,-87.9878,346.11354515546,245.04421339508,3837.7288957112,6181.4756465364,"2023",4183.84244086666,"Barrier",NA
"BZHCCD01","BZHCCD01",17.8684,-87.9722,223.63595306744,222.22696813497,2840.7854298945,2034.3620178177,"2023",3064.42138296194,"Barrier",NA
"BZHCCD02","BZHCCD02",17.8426,-87.9794,635.13025028892,954.51010260717,2033.275920227,1665.9583402422,"2023",2668.40617051592,"Barrier",NA
"BZPHMR01","Daly Bank",16.33054,-88.34744,66,185,3644,4116,"2018",3710,NA,7.9
"BZPHMR02","BZPHMR02",16.1595,-88.4102,0,0,4607.7588652827,3191.9230000836,"2023",4607.7588652827,"Barrier",NA
"BZPHMR02","Spanish Bank",16.15951,-88.41017,159,270,6113,4841,"2018",6272,NA,7.9
"BZPHMR03","East Snake Caye",16.20594,-88.50809,444,594,7734,9020,"2018",8178,NA,4
"BZPHMR04","Middle Snake Caye",16.20152,-88.55112,273,547,14203,19283,"2018",14476,NA,3.5
"BZPHMR05","South Snake Caye",16.17913,-88.56444,113,267,8572,6825,"2018",8685,NA,3.3
