"Code","Name","Latitude","Longitude","YEAR","Depth","Reef.Type","tCORALavg","tCORALstd","tFMAavg","tFMAstd","tLUTJavg","tLUTJstd","tSERRavg","tSERRstd","tCARAavg","tCARAstd","tSPHYavg","tSPHYstd","tHAEMavg","tHAEMstd","tCommBiomass","tACANavg","tACANstd","tSCARavg","tSCARstd","tHerbiBiomass"
"BZ1047","Glover’s Reef",16.7705,-87.8716,"2023",NA,"Atoll",27.666667,7.824463,2.916667,3.167763,576.42723529082,1032.0782972156,493.26379309985,886.75712103732,11.015361035213,7.78903648521718,0,0,805.94385712718,1303.650784641,1886.65024655306,292.05701096259,237.04736574281,8096.9445123495,5143.3060478528,8389.00152331209
"BZ1049","Glovers Reef",16.7841,-87.75241,"2021",4.6,NA,NA,NA,NA,NA,864,899,49,155,27,80,0,0,133,172,1073,308,263,1176,2338,1484
"BZ1049","Glovers Reef",16.7841,-87.75241,"2021",6.1,NA,27.83,18.84,19.83,10.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1049","Glovers Reef, Glovers Reef",16.7841,-87.7524,"2023",NA,"Atoll",31.666667,14.476034,30.416667,15.155903,409.39069555372,599.10309781671,46.928972980129,115.53764888939,0,0,0,0,293.95349267913,400.95324140673,750.273161212979,583.28743940775,557.05321148929,1980.9470274634,2489.8702863959,2564.23446687115
"BZ1050","Glover's Northeast",16.88532,-87.70304,"2018",9.9,NA,NA,NA,NA,NA,0,0,71,226,0,0,0,0,29,40,100,82,110,876,1028,958
"BZ1050","Glover's Northeast",16.88532,-87.70304,"2018",10,NA,32.17,6.62,10.67,4.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1050","Glover's Reef Northeast",16.8853,-87.703,"2023",NA,"Atoll",26.333333,8.076028,10.333333,7.570043,152.79626962288,301.02645531018,157.49768571302,305.93356623958,0,0,132.6964894597,398.08946837911,215.0176672202,351.09195318835,658.0081120158,430.67409815064,415.39883550788,4280.4287543268,4218.7627791646,4711.10285247744
"BZ1050","Glover's Reef Northeast",16.88532,-87.70304,"2021",7.5,NA,NA,NA,NA,NA,75,123,2,4,0,0,0,0,87,189,164,38,43,361,736,399
"BZ1050","Glover's Reef Northeast",16.88532,-87.70304,"2021",10,NA,21.5,9.85,14.83,7.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1052","Glover's Reef Northwest",16.8856,-87.8102,"2021",5.4,NA,NA,NA,NA,NA,210,322,48,65,2,4,0,0,70,126,330,80,121,566,548,646
"BZ1052","Glover's Reef Northwest",16.8856,-87.8102,"2021",8.8,NA,28.33,9.27,4.5,4.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1052","Glover's Reef Northwest(east)",16.8856,-87.8102,"2023",NA,"Atoll",33.166667,11.710631,5.25,4.811012,855.3368298384,1637.8221964327,784.81998709501,1081.0705630876,95.319528921573,67.4010852799515,0,0,48.715256075274,109.6356885768,1784.19160193026,102.68363551353,79.631667577475,5359.611574423,6977.6542860429,5462.29520993653
"BZ1055",NA,17.132,-87.603,"2018",6.4,NA,NA,NA,NA,NA,201,600,0,0,62,194,0,0,71,62,334,525,348,858,761,1383
"BZ1055",NA,17.132,-87.603,"2018",7,NA,26.5,18.79,9.58,6.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1062","1062DFR",17.2603,-87.961,"2023",NA,"Atoll",12.5,7.653975,3.833333,3.236081,246.48336960539,561.96102309212,53.354006309493,120.19042677576,0,0,0,0,101.80545902307,143.69238180371,401.642834937953,140.26267588819,144.15761421933,832.49797415658,1137.7846521645,972.76065004477
"BZ1063","Lighthouse",17.3513,-87.482,"2018",11.7,NA,NA,NA,NA,NA,67,213,129,339,540,866,498,1574,524,679,1758,942,665,963,1247,1905
"BZ1063","Lighthouse",17.3513,-87.482,"2018",12.5,NA,16.17,13.21,20.42,8.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1064","Paranga Grounding",17.3185,-88.0425,"2023",NA,"Barrier",12.166667,12.562068,4.583333,4.127314,281.83688103995,306.11511017432,4.3988716361489,13.196614908447,343.424368464143,226.441245051455,0,0,359.7164536138,415.56924774865,989.376574754042,647.96877042206,711.63489708654,1749.1147768717,2094.6055596346,2397.08354729376
"BZ1064","Paranga Grounding Site",17.31848,-88.0425,"2021",4.3,NA,NA,NA,NA,NA,279,320,45,138,176,412,0,0,52,74,552,311,273,4531,3065,4842
"BZ1064","Paranga Grounding Site",17.31848,-88.0425,"2021",5.4,NA,27.67,10.03,1.83,2.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1070","North Gallows",17.4882,-88.04193,"2021",3.5,NA,NA,NA,NA,NA,103,189,65,138,6,20,0,0,366,294,540,1440,3384,1773,1159,3213
"BZ1070","North Gallows",17.4882,-88.04193,"2021",3.9,NA,30.5,8.64,4,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1077","Coral Gardens",17.8193,-87.9869,"2023",NA,"Barrier",4.666667,2.687419,33.5,3.947573,393.08508884996,626.98372115135,0,0,0,0,0,0,91.524377077461,165.13235356716,484.609465927421,233.76394546254,237.66165440003,992.48325739804,984.35579101597,1226.24720286058
"BZ1077","Coral Gardens",17.81931,-87.98686,"2021",6.6,NA,NA,NA,NA,NA,332,458,0,0,0,0,0,0,90,188,422,293,403,1243,1304,1536
"BZ1077","Coral Gardens",17.81931,-87.98686,"2021",6.8,NA,12.17,1.94,13.83,4.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1079","Tres Cocos",17.93406,-87.93876,"2021",7.7,NA,NA,NA,NA,NA,150,474,11,36,0,0,0,0,1374,4084,1535,459,245,2810,3395,3269
"BZ1079","Tres Cocos",17.93406,-87.93876,"2021",7.9,NA,17.5,3.67,20,6.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1079","Tres Cocos",17.9341,-87.9388,"2023",NA,"Barrier",13,6.733003,40.416667,9.597815,423.71032906459,719.55920252239,0,0,0,0,0,0,1064.5175231829,3158.0816406033,1488.22785224749,258.79542020978,306.70879781104,1514.5989059053,2320.2615479119,1773.39432611508
"BZ1080","Basil Jones",18.08799,-87.86372,"2021",6.5,NA,NA,NA,NA,NA,207,398,2,5,171,498,0,0,330,460,710,577,271,2481,4056,3058
"BZ1080","Basil Jones",18.08799,-87.86372,"2021",7.9,NA,14.5,3.62,18,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1080","Basil Jones",18.088,-87.8637,"2023",NA,"Barrier",7.833333,4.561311,32.583333,7.764324,747.06984138593,920.95991089964,110.6550942661,156.52759363398,111.76166740619,79.0274328996325,0,0,680.66943284808,374.53944483292,1650.1560359063,337.99574955006,319.65361996394,2003.3249676534,1609.4600567259,2341.32071720346
"BZ1081","North of Alleys",18.17546,-87.828,"2021",7.8,NA,NA,NA,NA,NA,480,1181,0,0,0,0,205,649,120,161,805,1139,1350,1558,1706,2697
"BZ1081","North of Alleys",18.17546,-87.828,"2021",9.1,NA,17.33,5.79,28.58,19.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1098","Traps Caye",16.4953,-88.1685,"2023",NA,"Lagoonal",14.583333,3.855912,3.5,1.384437,348.82894511683,418.18600363785,93.857945960258,169.60320706188,0,0,0,0,284.06316646963,528.38151156513,726.750057546718,76.836568900686,122.61786088691,3415.0144684983,2348.4783142331,3491.85103739899
"BZ1098","Traps Caye, Moho",16.4953,-88.1685,"2021",5.6,NA,6.83,3.06,11.83,9.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1098","Traps Caye, Moho",16.4953,-88.1685,"2021",5.9,NA,NA,NA,NA,NA,17,37,28,63,10,31,0,0,36,87,91,9,28,906,1185,915
"BZ1100","Baker Caye",16.5509,-88.1996,"2021",2.8,NA,NA,NA,NA,NA,34,106,0,0,0,0,0,0,40,54,74,0,0,255,398,255
"BZ1100","Baker Caye",16.5509,-88.1996,"2021",3.2,NA,10.5,4.04,18.67,18.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1100","Baker Caye",16.5509,-88.1996,"2023",NA,"Bank",19,13.316656,27,11.015141,232.22244535257,344.70179761273,0,0,496.81179452849,351.298988884553,0,0,381.04796087434,350.63124129151,1110.0822007554,0,0,88.606596382602,144.40113096352,88.606596382602
"BZ1103","NE Range",16.6584,-88.0956,"2023",NA,"Bank",6.916667,3.983473,27.416667,13.454914,559.98318938503,707.0978055413,0,0,71.563561919063,50.6030799188328,0,0,370.11475259107,296.53576313787,1001.66150389516,835.10232021412,1193.1524221648,573.80254685471,288.28290587192,1408.90486706883
"BZ1104","North of Middle Caye",16.75118,-87.8214,"2018",1.3,NA,6.17,3.97,40.67,7.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1104","North of Middle Caye",16.75118,-87.8214,"2018",1.5,NA,NA,NA,NA,NA,286,510,0,0,3,8,0,0,550,747,839,606,848,2351,1943,2957
"BZ1104","North of Middle Caye",16.75118,-87.82139,"2021",1.8,NA,15.5,6.19,30.92,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1104","North of Middle Caye",16.75118,-87.82139,"2021",2.7,NA,NA,NA,NA,NA,564,1296,0,0,6,20,0,0,484,1027,1054,25,46,214,328,239
"BZ1104","North of Middle Caye",16.7512,-87.8214,"2023",NA,"Atoll",15.333333,6.368324,25.416667,14.509815,1557.9992455596,1872.9511767006,85.12331071043,255.36993213129,0,0,0,0,2109.0934900725,4938.1060072456,3752.21604634253,5777.2575790258,14480.191173883,989.52317918393,1081.4654569419,6766.78075820973
"BZ1105","South Water  Caye Reef",16.7365,-88.1485,"2023",NA,"Bank",7.333333,2.624669,11.166667,6.649979,92.153535432637,163.29179852947,0,0,226.21232030484,159.956265675496,0,0,193.55685195684,369.22314204527,511.922707694317,250.4080980373,528.94793470107,541.36065361419,662.32583609375,791.76875165149
"BZ1106","Southwest Glover’s Patch",16.7434,-87.8508,"2023",NA,"Atoll",22.666667,9.860133,5.166667,5.920773,429.78675578616,694.83259690618,52.733037589562,129.31359097854,186.26944567699,131.712388166059,0,0,1279.7404447314,1964.9830029801,1948.52968378411,2931.6438367495,5475.6399956637,2921.2976467738,2906.7266375505,5852.9414835233
"BZ1106","Southwest Glovers Patch",16.74339,-87.85077,"2021",1.5,NA,18.67,13.13,15.33,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1106","Southwest Glovers Patch",16.74339,-87.85077,"2021",1.9,NA,NA,NA,NA,NA,578,1267,0,0,0,0,0,0,15,47,593,121,177,1435,1806,1556
"BZ1109","Glover's North inner patch",16.88644,-87.78005,"2018",1,NA,13.33,2.25,22,8.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1109","Glover's North inner patch",16.88644,-87.78005,"2018",1.3,NA,NA,NA,NA,NA,104,330,0,0,0,0,0,0,196,402,300,158,229,142,257,300
"BZ1109","Glover's North Inner Patch",16.8864,-87.7801,"2023",NA,"Atoll",17.833333,7.38053,43.166667,16.80691,0,0,31.031272616373,93.09381784912,0,0,0,0,1769.5750947982,3297.4009863743,1800.60636741457,1559.1720622937,2402.4554968924,272.96366030124,266.44263956067,1832.13572259494
"BZ1109","Glover's North Inner Patch",16.88644,-87.78005,"2021",1.2,NA,12.83,13.36,29.67,18.8,0,0,0,0,0,0,0,0,46,115,46,32,83,9,10,41
"BZ1112","Rendezvous",17.2451,-88.0522,"2023",NA,"Barrier",26.5,8.098354,1,0.816497,275.07187810491,443.34683223863,312.05325633279,584.28747029228,15.595305810757,11.0275464934642,0,0,214.13594213481,191.71039207159,816.856382383267,238.20548099683,458.87867681678,1567.8824312433,1054.7037843903,1806.08791224013
"BZ1112","Rendezvous Caye Patch",17.24508,-88.05223,"2018",3.7,NA,21.5,9.89,20.17,12.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1112","Rendezvous Caye Patch",17.24508,-88.05223,"2018",8.8,NA,NA,NA,NA,NA,336,420,9,30,56,118,0,0,806,951,1207,585,829,6868,4155,7453
"BZ1112","Rendezvous Caye Patch",17.24508,-88.05223,"2021",5.7,NA,41.67,7.2,2.33,2.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1112","Rendezvous Caye Patch",17.24508,-88.05223,"2021",5.9,NA,NA,NA,NA,NA,32,51,4,8,0,0,0,0,66,78,102,8,14,2332,1110,2340
"BZ1118","Robinson area flats",17.3524,-88.1501,"2023",NA,"Lagoonal",14.166667,7.690181,3.916667,3.321855,448.72648862139,860.64800201863,33.395098863421,45.042752619643,362.68950706778,256.460209912834,314.2057879241,526.56318933521,1722.9814874547,2725.2158535602,2881.99836993139,900.23308642147,1032.3855368124,758.19601136715,890.43737915637,1658.42909778862
"BZ1124","Nothing Special",16.1548,-88.3299,"2023",NA,"Barrier",12.833333,7.220726,15,5.163978,423.88237775858,812.54276227881,64.835924405635,113.00715600355,0,0,0,0,108.65556404235,299.22212822976,597.373866206565,188.0699103243,368.8061567664,3105.4760843316,1017.2743091076,3293.5459946559
"BZ1124","Southwest of Seal Caye",16.1548,-88.3729,"2018",8.9,NA,16.83,7.36,19.92,3.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1124","Southwest of Seal Caye",16.1548,-88.3729,"2018",10.3,NA,NA,NA,NA,NA,1005,1070,0,0,69,165,0,0,293,694,1367,168,307,2137,1179,2305
"BZ1124","Southwest of Seal Caye",16.1548,-88.3729,"2021",7.6,NA,13.17,5.15,12.33,5.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1124","Southwest of Seal Caye",16.1548,-88.3729,"2021",8,NA,NA,NA,NA,NA,0,0,3,10,0,0,0,0,25,40,28,0,0,904,607,904
"BZ1128","East of Water Caye",17.385,-88.04222,"2021",2.4,NA,NA,NA,NA,NA,73,231,37,75,62,198,0,0,483,799,655,3335,9359,1421,904,4756
"BZ1128","East of Water Caye",17.385,-88.04222,"2021",3.6,NA,39.83,18.5,0.5,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1128","Spanish Bay",17.3883,-88.0456,"2023",NA,"Barrier",19.166667,8.02946,14.666667,10.530379,268.57463723167,494.6347325662,8.3985741529233,25.19572245877,74.507778270795,52.6849552664228,0,0,901.46544184266,1159.4451273543,1252.94643149805,153.02881484613,251.27281565556,1611.3078310271,1056.9634358556,1764.33664587323
"BZ1130","Rise & Fall",16.0682,-88.3011,"2023",NA,"Bank",8,4.041452,28,21.18962,1058.5273837431,1190.6330207662,622.5904394442,1216.2382349308,0,0,0,0,0,0,1681.1178231873,498.83832774784,439.57467624511,1981.6316415476,1626.1561705537,2480.46996929544
"BZ1149","Seal Caye",16.1237,-88.3787,"2023",NA,"Barrier",15.833333,6.76798,17.666667,8.034647,597.8442858909,1259.7672375015,135.85081672487,178.71589184169,0,0,0,0,248.5164828942,347.92988756533,982.21158550997,4441.1377859378,13080.247053824,4451.6637097493,2599.9687755671,8892.8014956871
"BZ1149","Southwest of Seal Caye",16.12373,-88.37861,"2021",8.3,NA,NA,NA,NA,NA,93,201,24,48,60,126,0,0,350,594,527,440,1278,1020,299,1460
"BZ1149","Southwest of Seal Caye",16.12373,-88.37861,"2021",8.4,NA,12.67,4.32,25.67,5.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1177","Bugle's Caye",16.4903,-88.3236,"2021",2.7,NA,NA,NA,NA,NA,235,378,0,0,155,395,0,0,842,1479,1232,91,258,226,243,317
"BZ1177","Bugle's Caye",16.4903,-88.3236,"2021",2.8,NA,25.67,8.26,9.83,5.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1177","Bugle's Caye",16.4903,-88.3236,"2023",NA,"Lagoonal",12.583333,5.64518,7.666667,5.25727,1341.323781659,2287.923216198,0,0,1.2189714196485,0.861942956906047,0,0,1212.2927746547,873.32766273662,2554.83552773335,217.78181466858,578.61395045132,2072.6497955639,1898.5526268094,2290.43161023248
"BZ1178","NA,NA",16.4563,-88.2097,"2023",NA,"Lagoonal",5.166667,2.339278,7.583333,3.271298,251.73337065482,283.36905829027,38.530398827206,115.59119648162,343.09672783665,242.606022856211,523.46759071072,1570.4027721322,83.347625956141,147.62223651382,1240.17571398554,65.866824593245,130.39377889008,2019.0870007263,2125.8723279006,2084.95382531955
"BZ1178","West of Laughing Bird Caye",16.4563,-88.2097,"2021",6.4,NA,3,2.19,32.67,13.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1178","West of Laughing Bird Caye",16.4563,-88.2097,"2021",6.5,NA,NA,NA,NA,NA,290,776,9,30,0,0,0,0,9,28,308,49,109,1162,1397,1211
"BZ1186","False Caye",16.6034,-88.3342,"2023",NA,"Lagoonal",3.333333,2.624669,34.833333,9.719682,92.718255189303,227.26522509598,0,0,0,0,0,0,522.32651972134,762.53126838227,615.044774910643,0,0,1930.7894239851,1135.4171292102,1930.7894239851
"BZ1192","Wee Wee Cay",16.7574,-88.1442,"2023",NA,"Bank",8,4.966555,2.083333,2.129489,801.95267989249,1886.5098415213,0,0,91.612805811341,64.7800362327256,0,0,324.48230146068,303.1156962855,1218.04778716451,737.94215507288,1017.7190519861,988.5815298812,998.93077442254,1726.52368495408
"BZ1215","Robinson Point Caye",17.3568,-88.1709,"2023",NA,"Lagoonal",2.333333,2.357023,3.833333,3.670453,237.25009876404,379.20865993037,16.589506794739,28.582745606146,311.94188400562,220.576221516481,0,0,183.43694781272,382.54838309886,749.218437377119,181.39288731304,345.05225948557,589.42546360267,734.65932859956,770.81835091571
"BZ1229","BZ1229",17.6876,-88.0161,"2023",NA,"Barrier",9.666667,6.774134,7.833333,3.423773,307.69737770236,323.87097478995,174.58510870709,194.37325858601,9.5304646621292,6.73905619045032,0,0,1118.5897306093,789.62694469021,1610.40268168088,4076.7764247784,9050.14894678,5401.8818262217,1696.4803647476,9478.6582510001
"BZ1229","Caye Chapel",17.68764,-88.01608,"2021",1.8,NA,NA,NA,NA,NA,0,0,2,5,176,471,0,0,309,359,487,185,135,1644,1383,1829
"BZ1229","Caye Chapel",17.68764,-88.01608,"2021",2.7,NA,43.83,8.57,4.5,3.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1230","North of Caye Caulker Marine Reserve",17.7996,-87.9954,"2023",NA,"Barrier",8.333333,5.906682,16,8.051915,59.140082662124,116.21844781748,46.928972980129,115.53764888939,25.732254587749,18.195451714216,354.44863557565,1063.345906727,182.25241993625,174.08312487398,668.502365741902,360.06699613396,443.88586466697,1789.7779891856,1117.6597887122,2149.84498531956
"BZ1230","North of Caye Caulker MR",17.79961,-87.99541,"2021",2.3,NA,38.17,5.78,14.33,3.5,21,67,2,5,34,89,0,0,268,431,325,63,132,401,614,464
"BZ1231","North of Hol Chan Marine Reserve",17.8817,-87.9695,"2023",NA,"Barrier",5.333333,2.134375,21.583333,9.532474,1865.9404546161,3338.6020939476,0,0,1.2189714196485,0.861942956906047,0,0,1901.167453807,2853.6208203571,3768.32687984275,121.13534438323,285.19601174938,293.77708456239,466.21323819161,414.91242894562
"BZ1231","North of Hol Chan MR",17.8817,-87.96947,"2021",0.9,NA,9,3.52,25.33,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1231","North of Hol Chan MR",17.8817,-87.96947,"2021",1.3,NA,NA,NA,NA,NA,9,28,0,0,119,203,0,0,514,1231,642,232,381,61,185,293
"BZ1234","North of Mexico Rocks",18.186,-87.83305,"2021",1.1,NA,12.17,12.46,12.5,13.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ1234","North of Mexico Rocks",18.186,-87.83305,"2021",1.6,NA,NA,NA,NA,NA,1038,1931,0,0,77,238,0,0,14396,32530,15511,263,311,802,1004,1065
"BZ2027",NA,16.2472,-88.176,"2018",8.9,NA,16.17,12.72,20.42,7.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ2027",NA,16.2472,-88.176,"2018",9.1,NA,NA,NA,NA,NA,430,491,60,154,0,0,0,0,186,262,676,129,214,1215,1251,1344
"BZ2027B",NA,16.24728,-88.17989,"2021",7.2,NA,15.67,5.13,17.33,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ2027B",NA,16.24728,-88.17989,"2021",8,NA,NA,NA,NA,NA,267,629,49,156,0,0,0,0,0,0,316,104,151,97,168,201
"BZ2054","Caye Glory",17.0975,-88.0077,"2023",NA,"Barrier",11.5,7.205322,7.833333,2.733537,2007.583412898,1194.5486198621,117.85748376615,299.41985323264,0,0,0,0,734.54639269073,874.10933928904,2859.98728935488,642.02944591173,310.44381823403,2556.3766364051,881.24054293874,3198.40608231683
"BZ2061","Lighthouse",17.2574,-87.572,"2018",6.1,NA,NA,NA,NA,NA,208,479,32,62,132,169,220,645,312,395,904,1342,828,1252,1148,2594
"BZ2061","Lighthouse",17.2574,-87.572,"2018",7.2,NA,21.33,14.75,5,5.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ2066","Lighthouse",17.3097,-87.584,"2018",8.9,NA,NA,NA,NA,NA,943,1911,814,1835,742,959,330,1043,560,502,3389,1622,1104,1269,1065,2891
"BZ2066","Lighthouse",17.3097,-87.584,"2018",9.5,NA,26.33,17.06,6.17,7.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ2070","Gallows",17.4496,-88.0324,"2021",1.4,NA,NA,NA,NA,NA,82,106,2,5,76,239,205,649,112,330,477,2658,5544,1178,1053,3836
"BZ2070","Gallows",17.4496,-88.0324,"2021",1.5,NA,46.17,5.12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ2070","Gallows Flat",17.4496,-88.0324,"2018",8.4,NA,12.5,3.02,23.17,3.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ2070","Gallows Flat",17.4496,-88.0324,"2018",8.9,NA,NA,NA,NA,NA,2095,4283,97,181,19,43,41,129,583,765,2835,1534,3423,2898,3186,4432
"BZ2202","Lighthouse",17.129,-87.615,"2018",0.9,NA,NA,NA,NA,NA,118,216,12,33,34,109,0,0,87,114,251,296,349,124,174,420
"BZ2202","Lighthouse",17.129,-87.615,"2018",1.1,NA,20.83,16.98,8.33,7.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZBCCB01","Barracuda Patch",18.16878,-87.834,"2018",2.2,NA,13.33,14.94,25.67,11.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZBCCB01","Barracuda Patch",18.16878,-87.834,"2018",5.5,NA,NA,NA,NA,NA,1122,1000,24,39,68,118,41,129,49,52,1304,315,291,725,693,1040
